Element Max Size (in),Polynomial Order,1,2,3,4,5,6,7,8,9
0.05,Dump,3.57e+05       0.8% of  4.27e+07,9.69e+04       0.2% of  3.96e+07,1.66e+05       0.4% of  3.92e+07,2.48e+05       0.6% of  3.93e+07,4.42e+05       1.2% of  3.83e+07,7.17e+05       1.9% of  3.87e+07,9.96e+05       2.6% of  3.79e+07,,
,Stress Error,3.57E+00,9.69E+00,1.66E+00,2.48E+00,4.42E+00,7.17E+00,9.96E+00,||,||
,Stress Error (%),0.80%,0.20%,0.40%,0.60%,1.20%,1.90%,2.60%,,
,Max Principal Stress,4.27E+07,3.96E+07,3.92E+07,3.93E+07,3.83E+07,3.87E+07,3.79E+07,,
0.1,Dump,4.96e+05       1.3% of  3.89e+07,9.30e+04       0.3% of  3.70e+07,1.93e+05       0.5% of  3.84e+07,1.93e+05       0.5% of  3.84e+07,3.83e+05       1.0% of  3.71e+07,6.19e+05       1.7% of  3.66e+07,8.19e+05       2.3% of  3.55e+07,1.10e+06       3.0% of  3.62e+07,1.34e+06       3.7% of  3.66e+07
,Stress Error,4.96E+00,9.30E+00,1.93E+00,1.93E+00,3.83E+00,6.19E+00,8.19E+00,1.10E+00,1.34E+00
,Stress Error (%),1.30%,0.30%,0.50%,0.50%,1.00%,1.70%,2.30%,3.00%,3.70%
,Max Principal Stress,3.89E+07,3.70E+07,3.84E+07,3.84E+07,3.71E+07,3.66E+07,3.55E+07,3.62E+07,3.66E+07
0.2,Dump,,,,,,,,,
,Stress Error,||,||,||,||,||,||,||,||,||
,Stress Error (%),,,,,,,,,
,Max Principal Stress,,,,,,,,,
0.5,Dump,1.27e+06       5.6% of  2.28e+07,3.77e+05       1.4% of  2.77e+07,2.12e+05       0.7% of  3.17e+07,9.14e+04       0.3% of  3.32e+07,1.24e+05       0.4% of  3.44e+07,1.89e+05       0.5% of  3.48e+07,3.19e+05       0.9% of  3.49e+07,4.56e+05       1.3% of  3.50e+07,6.20e+05       1.8% of  3.50e+07
,Stress Error,1.27E+00,3.77E+00,2.12E+00,9.14E+00,1.24E+00,1.89E+00,3.19E+00,4.56E+00,6.20E+00
,Stress Error (%),5.60%,1.40%,0.70%,0.30%,0.40%,0.50%,0.90%,1.30%,1.80%
,Max Principal Stress,2.28E+07,2.77E+07,3.17E+07,3.32E+07,3.44E+07,3.48E+07,3.49E+07,3.50E+07,3.50E+07
1,Dump,2.13e+06      10.9% of  1.96e+07,5.53e+05       2.3% of  2.38e+07,5.39e+05       1.8% of  3.06e+07,3.59e+05       1.0% of  3.49e+07,2.00e+05       0.6% of  3.49e+07,1.30e+05       0.4% of  3.54e+07,1.79e+05       0.5% of  3.56e+07,2.24e+05       0.6% of  3.57e+07,3.07e+05       0.9% of  3.57e+07
,Stress Error,2.13E+00,5.53E+00,5.39E+00,3.59E+00,2.00E+00,1.30E+00,1.79E+00,2.24E+00,3.07E+00
,Stress Error (%),0.90%,2.30%,1.80%,1.00%,0.60%,0.40%,0.50%,0.60%,0.90%
,Max Principal Stress,1.96E+07,2.38E+07,3.06E+07,3.49E+07,3.49E+07,3.54E+07,3.56E+07,3.57E+07,3.57E+07
2,Dump,,,,,,,,,
,Stress Error,||,||,||,||,||,||,||,||,||
,Stress Error (%),,,,,,,,,
,Max Principal Stress,,,,,,,,,
